layer,crop,cv,model,metric,point,ci_lo,ci_hi,boot_mean,boot_sd,method,n,n_boot,seed
A,aycicegi,LOYO,pls,mae_kg_da,41.9385,39.334,44.5147,41.9444,1.3123,iid,576,5000,12345
A,aycicegi,LOYO,pls,mape_pct,23.5871,21.5055,25.8132,23.5934,1.0936,iid,576,5000,12345
A,aycicegi,LOYO,pls,bias_kg_da,0.319,-3.7589,4.6996,0.3793,2.1726,iid,576,5000,12345
A,aycicegi,LOYO,pls,r2,-0.0725,-0.3886,0.1004,-0.1099,0.1266,cluster,576,5000,12345
A,aycicegi,LOYO,pls,rmse_kg_da,52.6653,45.825,58.8677,52.5258,3.3736,cluster,576,5000,12345
A,aycicegi,LOYO,pls,mae_kg_da,41.9385,35.777,48.0977,41.914,3.1559,cluster,576,5000,12345
A,aycicegi,LOYO,pls,mape_pct,23.5871,18.8246,28.8878,23.6066,2.5588,cluster,576,5000,12345
A,aycicegi,LOYO,pls,bias_kg_da,0.319,-16.0074,16.5624,0.5016,8.3723,cluster,576,5000,12345
A,aycicegi,LOYO,random_forest,r2,0.0509,-0.0144,0.1107,0.0489,0.0319,iid,576,5000,12345
A,aycicegi,LOYO,random_forest,rmse_kg_da,49.5418,46.6188,52.4387,49.523,1.4874,iid,576,5000,12345
A,aycicegi,LOYO,random_forest,mae_kg_da,39.8433,37.4966,42.2367,39.8509,1.2268,iid,576,5000,12345
A,aycicegi,LOYO,random_forest,mape_pct,22.3567,20.4165,24.4967,22.364,1.0504,iid,576,5000,12345
A,aycicegi,LOYO,random_forest,bias_kg_da,-0.6335,-4.6265,3.4403,-0.5751,2.062,iid,576,5000,12345
A,aycicegi,LOYO,random_forest,r2,0.0509,-0.1793,0.1856,0.0181,0.094,cluster,576,5000,12345
A,aycicegi,LOYO,random_forest,rmse_kg_da,49.5418,43.8165,55.006,49.4327,2.8859,cluster,576,5000,12345
A,aycicegi,LOYO,random_forest,mae_kg_da,39.8433,34.8039,45.1165,39.8171,2.6279,cluster,576,5000,12345
A,aycicegi,LOYO,random_forest,mape_pct,22.3567,17.8634,27.4066,22.373,2.4484,cluster,576,5000,12345
A,aycicegi,LOYO,random_forest,bias_kg_da,-0.6335,-15.4763,14.1736,-0.5154,7.5329,cluster,576,5000,12345
A,aycicegi,LOYO,xgboost,r2,-0.076,-0.1668,0.0095,-0.0784,0.0449,iid,576,5000,12345
A,aycicegi,LOYO,xgboost,rmse_kg_da,52.7496,49.6592,55.802,52.7241,1.5514,iid,576,5000,12345
A,aycicegi,LOYO,xgboost,mae_kg_da,42.2587,39.6187,44.8514,42.2619,1.3165,iid,576,5000,12345
A,aycicegi,LOYO,xgboost,mape_pct,23.1662,21.2398,25.2832,23.1712,1.0314,iid,576,5000,12345
A,aycicegi,LOYO,xgboost,bias_kg_da,-3.0279,-7.2732,1.2601,-2.9765,2.1863,iid,576,5000,12345
A,aycicegi,LOYO,xgboost,r2,-0.076,-0.4068,0.124,-0.1146,0.1362,cluster,576,5000,12345
A,aycicegi,LOYO,xgboost,rmse_kg_da,52.7496,45.9214,59.2398,52.6131,3.3883,cluster,576,5000,12345
A,aycicegi,LOYO,xgboost,mae_kg_da,42.2587,36.3127,48.4891,42.2288,3.096,cluster,576,5000,12345
A,aycicegi,LOYO,xgboost,mape_pct,23.1662,18.8132,27.9196,23.1832,2.349,cluster,576,5000,12345
A,aycicegi,LOYO,xgboost,bias_kg_da,-3.0279,-19.0209,12.7159,-2.8873,8.1236,cluster,576,5000,12345
A,aycicegi,Spatiotemporal,elastic_net,r2,0.0772,0.0354,0.1143,0.0754,0.0203,iid,576,5000,12345
A,aycicegi,Spatiotemporal,elastic_net,rmse_kg_da,48.8522,45.9559,51.8025,48.8344,1.4858,iid,576,5000,12345
A,aycicegi,Spatiotemporal,elastic_net,mae_kg_da,39.0357,36.6711,41.4087,39.045,1.2086,iid,576,5000,12345
A,aycicegi,Spatiotemporal,elastic_net,mape_pct,22.3357,20.2768,24.59,22.3429,1.1137,iid,576,5000,12345
A,aycicegi,Spatiotemporal,elastic_net,bias_kg_da,0.6545,-3.2509,4.7441,0.7144,2.0244,iid,576,5000,12345
A,aycicegi,Spatiotemporal,gpr,r2,0.3869,0.3188,0.4497,0.3854,0.0336,iid,576,5000,12345
A,aycicegi,Spatiotemporal,gpr,rmse_kg_da,39.8185,37.1465,42.4026,39.7938,1.3393,iid,576,5000,12345
A,aycicegi,Spatiotemporal,gpr,mae_kg_da,30.7061,28.6327,32.7759,30.7114,1.0651,iid,576,5000,12345
A,aycicegi,Spatiotemporal,gpr,mape_pct,16.9803,15.42,18.6314,16.9838,0.8184,iid,576,5000,12345
A,aycicegi,Spatiotemporal,gpr,bias_kg_da,0.5863,-2.5597,3.8551,0.6416,1.6501,iid,576,5000,12345
A,aycicegi,Spatiotemporal,pls,r2,0.099,0.025,0.1645,0.097,0.0354,iid,576,5000,12345
A,aycicegi,Spatiotemporal,pls,rmse_kg_da,48.2712,45.3228,51.1697,48.2505,1.5038,iid,576,5000,12345
A,aycicegi,Spatiotemporal,pls,mae_kg_da,38.2802,35.9243,40.6039,38.2877,1.2093,iid,576,5000,12345
A,aycicegi,Spatiotemporal,pls,mape_pct,21.5982,19.6469,23.7323,21.605,1.0402,iid,576,5000,12345
A,aycicegi,Spatiotemporal,pls,bias_kg_da,1.3812,-2.3567,5.3904,1.4467,1.986,iid,576,5000,12345
A,aycicegi,Spatiotemporal,random_forest,r2,0.32,0.2565,0.3798,0.3188,0.0309,iid,576,5000,12345
A,aycicegi,Spatiotemporal,random_forest,rmse_kg_da,41.9351,39.1576,44.7837,41.9073,1.4505,iid,576,5000,12345
A,aycicegi,Spatiotemporal,random_forest,mae_kg_da,32.3797,30.2071,34.6199,32.3908,1.1226,iid,576,5000,12345
A,aycicegi,Spatiotemporal,random_forest,mape_pct,18.1825,16.4601,20.0173,18.1874,0.9226,iid,576,5000,12345
A,aycicegi,Spatiotemporal,random_forest,bias_kg_da,0.6433,-2.739,4.0454,0.6942,1.7458,iid,576,5000,12345
A,aycicegi,Spatiotemporal,xgboost,r2,0.3851,0.3104,0.4515,0.3834,0.036,iid,576,5000,12345
A,aycicegi,Spatiotemporal,xgboost,rmse_kg_da,39.8773,37.2297,42.4765,39.8557,1.3331,iid,576,5000,12345
A,aycicegi,Spatiotemporal,xgboost,mae_kg_da,30.8994,28.825,32.9761,30.9107,1.0539,iid,576,5000,12345
A,aycicegi,Spatiotemporal,xgboost,mape_pct,17.1184,15.582,18.8008,17.1237,0.8229,iid,576,5000,12345
A,aycicegi,Spatiotemporal,xgboost,bias_kg_da,0.5387,-2.7265,3.7899,0.5963,1.6566,iid,576,5000,12345
A,bugday,LOILO,elastic_net,r2,0.0481,0.0064,0.0853,0.0464,0.0198,iid,589,5000,12345
A,bugday,LOILO,elastic_net,rmse_kg_da,67.8884,63.7774,71.9672,67.818,2.1011,iid,589,5000,12345
A,bugday,LOILO,elastic_net,mae_kg_da,53.3331,50.0107,56.7785,53.3039,1.7299,iid,589,5000,12345
A,bugday,LOILO,elastic_net,mape_pct,15.1571,13.98,16.4127,15.1464,0.6204,iid,589,5000,12345
A,bugday,LOILO,elastic_net,bias_kg_da,0.6193,-4.7386,6.2145,0.62,2.7835,iid,589,5000,12345
