layer,crop,cv,model,n_pub,n_rec,d_r2,d_rmse_kg_da,d_mae_kg_da,d_mape_pct,d_bias_kg_da,d_ss_vs_b0,max_abs_diff,status
C,aycicegi,LOYO,stacking,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOILO,pls,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOILO,elastic_net,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOILO,random_forest,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOILO,xgboost,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,LOILO,gpr,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,Spatiotemporal,pls,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,Spatiotemporal,elastic_net,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,Spatiotemporal,random_forest,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,Spatiotemporal,xgboost,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
C,aycicegi,Spatiotemporal,gpr,209,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
