r2,rmse_kg_da,mae_kg_da,mape_pct,bias_kg_da,ss_vs_b0,layer,crop,cv,model,n
-0.311,80.684,63.431,16.364,8.017,-0.17,C,bugday,LOYO,xgboost,213
0.059,68.341,52.609,13.517,1.488,0.009,C,bugday,Spatiotemporal,elastic_net,213
0.264,60.455,46.331,11.934,2.855,0.124,C,bugday,Spatiotemporal,gpr,213
0.079,67.624,50.909,13.002,1.772,0.02,C,bugday,Spatiotemporal,pls,213
0.372,55.829,44.322,11.453,2.465,0.191,C,bugday,Spatiotemporal,random_forest,213
0.48,50.829,39.941,10.295,1.127,0.263,C,bugday,Spatiotemporal,xgboost,213
0.392,42.093,32.996,16.965,1.072,0.229,C,aycicegi,LOILO,elastic_net,209
0.582,34.892,26.942,13.488,0.524,0.361,C,aycicegi,LOILO,gpr,209
0.337,43.936,33.863,16.966,1.898,0.195,C,aycicegi,LOILO,pls,209
0.49,38.543,29.411,14.842,0.54,0.294,C,aycicegi,LOILO,random_forest,209
0.521,37.342,28.995,14.207,0.482,0.316,C,aycicegi,LOILO,xgboost,209
0.186,48.694,40.439,21.564,4.056,0.108,C,aycicegi,LOYO,elastic_net,209
0.386,42.273,33.68,17.755,2.162,0.225,C,aycicegi,LOYO,gpr,209
0.151,49.717,40.964,21.402,4.584,0.089,C,aycicegi,LOYO,pls,209
0.358,43.259,33.425,17.982,3.606,0.207,C,aycicegi,LOYO,random_forest,209
0.343,43.733,34.814,18.311,0.731,0.199,C,aycicegi,LOYO,stacking,209
0.194,48.466,38.132,20.511,5.241,0.112,C,aycicegi,LOYO,xgboost,209
0.408,41.534,32.966,17.241,0.637,0.239,C,aycicegi,Spatiotemporal,elastic_net,209
0.556,35.947,28.046,14.391,0.502,0.341,C,aycicegi,Spatiotemporal,gpr,209
0.413,41.361,32.474,16.542,0.651,0.242,C,aycicegi,Spatiotemporal,pls,209
0.44,40.393,30.251,16.035,2.001,0.26,C,aycicegi,Spatiotemporal,random_forest,209
0.355,43.333,33.007,17.065,1.211,0.206,C,aycicegi,Spatiotemporal,xgboost,209
