crop,tier,model,cv,n,model_rmse,baseline_rmse_matched,model_mae,model_r2,baseline_r2_matched,skill_score,ss_ci_low_iid,ss_ci_high_iid,ss_ci_low_clustered,ss_ci_high_clustered,n_clusters
bugday,B,pls,LOILO,213,67.722,68.975,51.215,0.0761,0.0461,0.0182,-0.0839,0.1086,-0.1356,0.1412,28
bugday,B,pls,LOYO,213,122.921,68.975,99.487,-2.0438,0.0461,-0.7821,-0.9058,-0.6729,-1.2072,-0.4669,8
bugday,B,pls,Spatiotemporal,213,72.137,68.975,53.974,-0.0483,0.0461,-0.0458,-0.1409,0.0439,-0.1868,0.0853,25
bugday,B,random_forest,LOILO,213,53.822,68.975,40.966,0.4164,0.0461,0.2197,0.1148,0.31,0.0691,0.3396,28
bugday,B,random_forest,LOYO,213,92.923,68.975,73.78,-0.7394,0.0461,-0.3472,-0.445,-0.2648,-0.684,-0.1443,8
bugday,B,random_forest,Spatiotemporal,213,60.084,68.975,46.494,0.2728,0.0461,0.1289,0.0347,0.2111,-0.0116,0.2334,25
bugday,B,xgboost,LOILO,213,54.8,68.975,40.536,0.395,0.0461,0.2055,0.0881,0.3078,0.0419,0.3478,28
bugday,B,xgboost,LOYO,213,90.138,68.975,71.357,-0.6368,0.0461,-0.3068,-0.4036,-0.2248,-0.6468,-0.1383,8
bugday,B,xgboost,Spatiotemporal,213,58.369,68.975,46.225,0.3137,0.0461,0.1538,0.0624,0.2314,0.0167,0.254,25
bugday,C,elastic_net,LOILO,213,63.785,68.975,49.899,0.1804,0.0461,0.0752,0.0017,0.142,-0.0165,0.1499,28
bugday,C,elastic_net,LOYO,213,92.514,68.975,72.092,-0.7242,0.0461,-0.3413,-0.419,-0.2693,-0.5229,-0.2333,8
bugday,C,elastic_net,Spatiotemporal,213,68.341,68.975,52.609,0.0591,0.0461,0.0092,-0.0569,0.0724,-0.0861,0.1023,25
bugday,C,gpr,LOILO,213,57.169,68.975,44.183,0.3416,0.0461,0.1712,0.0737,0.254,0.0343,0.2815,28
bugday,C,gpr,LOYO,213,87.461,68.975,67.897,-0.541,0.0461,-0.268,-0.3429,-0.1991,-0.4337,-0.174,8
bugday,C,gpr,Spatiotemporal,213,60.455,68.975,46.331,0.2637,0.0461,0.1235,0.0488,0.1912,0.0112,0.2292,25
bugday,C,pls,LOILO,213,62.633,68.975,48.265,0.2097,0.0461,0.0919,0.0064,0.1709,-0.0029,0.1735,28
bugday,C,pls,LOYO,213,102.934,68.975,81.268,-1.1345,0.0461,-0.4923,-0.5906,-0.4031,-0.7414,-0.3076,8
bugday,C,pls,Spatiotemporal,213,67.624,68.975,50.909,0.0788,0.0461,0.0196,-0.0632,0.0994,-0.0998,0.1464,25
bugday,C,random_forest,LOILO,213,54.929,68.975,43.225,0.3922,0.0461,0.2036,0.1021,0.2916,0.0649,0.3167,28
bugday,C,random_forest,LOYO,213,87.837,68.975,69.145,-0.5543,0.0461,-0.2735,-0.3571,-0.1985,-0.6121,-0.0436,8
bugday,C,random_forest,Spatiotemporal,213,55.829,68.975,44.322,0.3721,0.0461,0.1906,0.1083,0.263,0.0911,0.2774,25
bugday,C,stacking,LOYO,213,90.726,68.975,69.632,-0.6582,0.0461,-0.3153,-0.3935,-0.2393,-0.4499,-0.1587,8
bugday,C,xgboost,LOILO,213,53.342,68.975,39.698,0.4268,0.0461,0.2266,0.1152,0.328,0.0789,0.3619,28
bugday,C,xgboost,LOYO,213,80.684,68.975,63.431,-0.3114,0.0461,-0.1697,-0.2383,-0.1089,-0.4391,-0.0055,8
bugday,C,xgboost,Spatiotemporal,213,50.829,68.975,39.941,0.4795,0.0461,0.2631,0.1955,0.3273,0.1797,0.3253,25
