comparison,crop,tier,model,cv,n_obs,median_abs_err_model,median_abs_err_baseline,wilcoxon_W,p_value,method
bugday|tierB|pls|LOYO|model_vs_climatology,bugday,B,pls,LOYO,213,88.148,44.286,2232.0,2.5504844067823494e-24,iid observation-level (NOT primary)
bugday|tierB|pls|Spatiotemporal|model_vs_climatology,bugday,B,pls,Spatiotemporal,213,41.252,44.286,10888.0,0.5730616707614211,iid observation-level (NOT primary)
bugday|tierB|random_forest|LOILO|model_vs_climatology,bugday,B,random_forest,LOILO,213,32.138,44.286,7614.0,2.6794498699428884e-05,iid observation-level (NOT primary)
bugday|tierB|random_forest|LOYO|model_vs_climatology,bugday,B,random_forest,LOYO,213,60.076,44.286,5261.0,9.62560780891875e-12,iid observation-level (NOT primary)
bugday|tierB|random_forest|Spatiotemporal|model_vs_climatology,bugday,B,random_forest,Spatiotemporal,213,38.551,44.286,8969.0,0.007049812923145462,iid observation-level (NOT primary)
bugday|tierB|xgboost|LOILO|model_vs_climatology,bugday,B,xgboost,LOILO,213,30.482,44.286,7845.0,8.059754860488652e-05,iid observation-level (NOT primary)
bugday|tierB|xgboost|LOYO|model_vs_climatology,bugday,B,xgboost,LOYO,213,57.039,44.286,6109.0,4.349031708470805e-09,iid observation-level (NOT primary)
bugday|tierB|xgboost|Spatiotemporal|model_vs_climatology,bugday,B,xgboost,Spatiotemporal,213,41.694,44.286,8867.0,0.004988942345501238,iid observation-level (NOT primary)
bugday|tierC|elastic_net|LOILO|model_vs_climatology,bugday,C,elastic_net,LOILO,213,38.849,44.286,9440.0,0.029896047064915315,iid observation-level (NOT primary)
bugday|tierC|elastic_net|LOYO|model_vs_climatology,bugday,C,elastic_net,LOYO,213,57.052,44.286,5022.0,1.4689717609588908e-12,iid observation-level (NOT primary)
bugday|tierC|elastic_net|Spatiotemporal|model_vs_climatology,bugday,C,elastic_net,Spatiotemporal,213,40.723,44.286,10456.0,0.2968287555690381,iid observation-level (NOT primary)
bugday|tierC|gpr|LOILO|model_vs_climatology,bugday,C,gpr,LOILO,213,33.126,44.286,8538.0,0.0015083015128254736,iid observation-level (NOT primary)
bugday|tierC|gpr|LOYO|model_vs_climatology,bugday,C,gpr,LOYO,213,56.586,44.286,6081.0,3.603599769861472e-09,iid observation-level (NOT primary)
bugday|tierC|gpr|Spatiotemporal|model_vs_climatology,bugday,C,gpr,Spatiotemporal,213,37.806,44.286,8609.0,0.0019731757807218706,iid observation-level (NOT primary)
bugday|tierC|pls|LOILO|model_vs_climatology,bugday,C,pls,LOILO,213,38.487,44.286,9552.0,0.04064869333489074,iid observation-level (NOT primary)
bugday|tierC|pls|LOYO|model_vs_climatology,bugday,C,pls,LOYO,213,68.486,44.286,4057.0,3.6706121076367556e-16,iid observation-level (NOT primary)
bugday|tierC|pls|Spatiotemporal|model_vs_climatology,bugday,C,pls,Spatiotemporal,213,39.675,44.286,10155.0,0.16835756188515694,iid observation-level (NOT primary)
bugday|tierC|random_forest|LOILO|model_vs_climatology,bugday,C,random_forest,LOILO,213,37.133,44.286,8463.0,0.0011284876649680397,iid observation-level (NOT primary)
bugday|tierC|random_forest|LOYO|model_vs_climatology,bugday,C,random_forest,LOYO,213,53.605,44.286,6037.0,2.6766561635058586e-09,iid observation-level (NOT primary)
bugday|tierC|random_forest|Spatiotemporal|model_vs_climatology,bugday,C,random_forest,Spatiotemporal,213,35.949,44.286,8346.0,0.0007084551254749028,iid observation-level (NOT primary)
bugday|tierC|stacking|LOYO|model_vs_climatology,bugday,C,stacking,LOYO,213,53.974,44.286,5632.0,1.5535718076343388e-10,iid observation-level (NOT primary)
bugday|tierC|xgboost|LOILO|model_vs_climatology,bugday,C,xgboost,LOILO,213,31.251,44.286,7508.0,1.5828275720080436e-05,iid observation-level (NOT primary)
bugday|tierC|xgboost|LOYO|model_vs_climatology,bugday,C,xgboost,LOYO,213,50.484,44.286,7439.0,1.1156338147714446e-05,iid observation-level (NOT primary)
bugday|tierC|xgboost|Spatiotemporal|model_vs_climatology,bugday,C,xgboost,Spatiotemporal,213,33.547,44.286,6526.0,6.398681629782537e-08,iid observation-level (NOT primary)
