crop,tier,model,cv,fold_id,ilce_id,year,n_test,y_true,model_pred,baseline_pred
aycicegi,A,pls,LOYO,year=2008,1258,2008,25,194.0,186.3539286117582,189.85714285714286
aycicegi,A,pls,LOYO,year=2009,1258,2009,25,191.0,195.34965015482632,190.0
aycicegi,A,pls,LOYO,year=2010,1258,2010,25,196.0,228.057048205742,189.76190476190476
aycicegi,A,pls,LOYO,year=2011,1258,2011,25,190.0,210.78685387299456,190.04761904761904
aycicegi,A,pls,LOYO,year=2012,1258,2012,25,180.0,203.83372902965743,190.52380952380952
aycicegi,A,pls,LOYO,year=2013,1258,2013,27,196.0,171.0009363488747,189.76190476190476
aycicegi,A,pls,LOYO,year=2014,1258,2014,27,249.0,254.95674651859335,187.23809523809524
aycicegi,A,pls,LOYO,year=2015,1258,2015,27,165.0,209.89268836175907,191.23809523809524
aycicegi,A,pls,LOYO,year=2016,1258,2016,27,181.0,183.50164965691192,190.47619047619048
aycicegi,A,pls,LOYO,year=2017,1258,2017,27,234.0,213.1849422144528,187.95238095238096
aycicegi,A,pls,LOYO,year=2018,1258,2018,27,220.0,215.56532944691972,188.61904761904762
aycicegi,A,pls,LOYO,year=2019,1258,2019,27,235.0,181.6257044912337,187.9047619047619
aycicegi,A,pls,LOYO,year=2020,1258,2020,27,267.0,205.70203014876307,186.38095238095238
aycicegi,A,pls,LOYO,year=2021,1258,2021,27,250.0,169.20652379562694,187.1904761904762
aycicegi,A,pls,LOYO,year=2022,1258,2022,27,174.0,177.31173149673225,190.8095238095238
aycicegi,A,pls,LOYO,year=2023,1258,2023,27,88.0,200.96100914912148,194.9047619047619
