ilce_id,ilce,il,crop,urun_tr,n_years,yil_min,yil_max,mean_kg_da,std_kg_da,cv_pct,min_kg_da,min_yil,max_kg_da,max_yil
1388,Hayrabolu,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,198.0,41.4,20.9,113.0,2023,270.0,2019
1388,Hayrabolu,Tekirdağ,bugday,Buğday,22,2004,2025,403.2,64.0,15.9,294.0,2010,500.0,2012
1412,İpsala,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,208.5,45.8,22.0,142.0,2024,300.0,2010
1412,İpsala,Edirne,bugday,Buğday,22,2004,2025,384.7,81.4,21.2,273.0,2005,576.0,2023
1464,Keşan,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,228.6,37.3,16.3,155.0,2025,287.0,2014
1464,Keşan,Edirne,bugday,Buğday,22,2004,2025,413.0,66.5,16.1,311.0,2005,559.0,2023
1471,Merkez,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,205.3,51.1,24.9,134.0,2025,289.0,2020
1471,Merkez,Kırklareli,bugday,Buğday,22,2004,2025,335.9,64.6,19.2,189.0,2010,458.0,2017
1480,Kofçaz,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,145.0,43.5,30.0,52.0,2005,230.0,2013
1480,Kofçaz,Kırklareli,bugday,Buğday,22,2004,2025,267.6,52.5,19.6,147.0,2010,360.0,2021
1502,Lalapaşa,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,177.7,49.6,27.9,70.0,2025,261.0,2023
1502,Lalapaşa,Edirne,bugday,Buğday,22,2004,2025,331.0,68.5,20.7,227.0,2025,459.0,2023
1505,Lüleburgaz,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,218.9,47.6,21.8,92.0,2025,319.0,2019
1505,Lüleburgaz,Kırklareli,bugday,Buğday,22,2004,2025,385.0,48.3,12.5,263.0,2025,483.0,2021
1511,Malkara,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,198.6,33.1,16.7,136.0,2007,250.0,2019
1511,Malkara,Tekirdağ,bugday,Buğday,22,2004,2025,405.7,57.2,14.1,311.0,2005,527.0,2021
1523,Meriç,Edirne,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,229.8,59.0,25.7,127.0,2005,352.0,2022
1523,Meriç,Edirne,bugday,Buğday,22,2004,2025,374.3,57.3,15.3,237.0,2006,510.0,2023
1538,Muratlı,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,206.3,49.6,24.0,85.0,2023,288.0,2020
1538,Muratlı,Tekirdağ,bugday,Buğday,22,2004,2025,435.8,64.7,14.8,316.0,2025,589.0,2021
1572,Pehlivanköy,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,221.6,61.1,27.6,128.0,2004,325.0,2020
1572,Pehlivanköy,Kırklareli,bugday,Buğday,22,2004,2025,369.4,50.6,13.7,280.0,2010,458.0,2017
1577,Pınarhisar,Kırklareli,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,213.5,65.3,30.6,103.0,2025,372.0,2020
1577,Pınarhisar,Kırklareli,bugday,Buğday,22,2004,2025,375.7,55.0,14.6,282.0,2004,458.0,2017
1596,Saray,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,194.3,42.4,21.8,100.0,2025,260.0,2019
1596,Saray,Tekirdağ,bugday,Buğday,22,2004,2025,395.8,64.0,16.2,263.0,2025,536.0,2021
1652,Şarköy,Tekirdağ,aycicegi_yaglik,Ayçiçeği (Yağlık),22,2004,2025,192.5,41.4,21.5,107.0,2023,260.0,2018
