ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,NDVI_greenup_mean,NDVI_peak_mean,NDVI_grainfill_mean,NDRE_greenup_mean,NDRE_peak_mean,NDRE_grainfill_mean,EVI_greenup_mean,EVI_peak_mean,EVI_grainfill_mean
1295,Merkez,Edirne,2024,370.0,4118.15,526.735,48,424.34,269.43,44.82,9.53,0.33920741740881,29,16.817419354838712,23.703548387096777,11.899031141868512,655.75,4102.01,0.6395153495322943,0.7630613492053023,0.2538700333767727,0.4587145733029507,0.5912653263392244,0.1628019906514161,0.430426641645996,0.6233578153476642,0.1789071242011518
1307,Enez,Edirne,2017,335.0,3900.325,556.225,59,443.15,302.7900000000001,32.68,35.68,0.5085841818835534,8,17.9441935483871,21.24709677419355,5.832604166666666,710.1300000000002,4264.71,0.4091168441801276,0.7592734202688486,0.3549708855791794,0.2594906223765,0.5585586541527788,0.2167017963902275,0.2543067939838164,0.6253449023552619,0.2228273459025817
1307,Enez,Edirne,2018,334.0,4356.275,611.96,34,621.89,436.86,29.010000000000005,60.55,0.7417498931043742,0,19.66193548387097,22.973225806451616,5.4521875,686.61,4162.33,0.6871059287666036,0.6953226699384663,0.2534810008362039,0.4482167311794003,0.4909455657677976,0.1562407557303264,0.4884939090442162,0.5399868446071489,0.1752465185646955
1307,Enez,Edirne,2019,321.0,4108.8150000000005,584.575,49,576.85,399.13000000000005,22.84,35.85,0.711402023912258,11,18.70387096774194,21.58129032258064,5.510243055555555,709.0600000000001,4098.429999999999,0.5630640035722785,0.7402503533256931,0.2747114142676298,0.3683711728127682,0.5339452486182985,0.1683843389278528,0.3944201106259578,0.5539179057980403,0.1791632844489099
1307,Enez,Edirne,2020,309.0,4322.995,557.43,36,463.41,263.12,59.8,37.66,0.5436903279438609,1,18.04548387096774,21.127419354838707,5.596851211072664,708.0,4263.72,0.7200968520008719,0.7623812592115932,0.2693226685069634,0.5175021903361492,0.5517419353668875,0.1664555617781032,0.5415040933822466,0.6069330256715356,0.1642225044587985
1307,Enez,Edirne,2021,448.0,4275.63,570.73,22,839.55,588.8799999999999,89.39000000000001,55.63,1.065137160148327,6,18.33419354838709,21.334838709677417,4.995902777777777,752.45,4190.56,0.5352211930823036,0.7517861569766549,0.3948744665097674,0.3367432719111822,0.5546299925614505,0.2446526363987836,0.4016368137629771,0.5992437781964594,0.2596741353739973
1307,Enez,Edirne,2022,398.0,4049.51,578.1250000000001,36,542.1199999999999,411.94999999999993,14.73,31.43,0.633042009799041,1,18.57,22.45290322580645,5.769236111111111,778.39,4231.91,0.4731448781064686,0.6774795168618152,0.2732447470941403,0.2896481674248394,0.4885670972207558,0.1672718124386646,0.3303734095010449,0.5182444855439411,0.1834310857679293
1307,Enez,Edirne,2023,506.0,4333.57,530.41,23,428.89,225.14,30.13,35.4,0.5365961556494224,2,17.095483870967744,20.256451612903227,5.502083333333333,588.3899999999999,3994.44,0.5988349562730447,0.777640189022996,0.2976033001285548,0.4014709374797891,0.5858374142975511,0.1828716586214616,0.4517812109901356,0.6227914143640952,0.1850044536788035
1307,Enez,Edirne,2024,386.0,4716.01,550.12,28,529.75,416.85,22.51,1.01,0.570023764359652,16,17.7558064516129,21.06774193548388,5.6932179930795845,701.1700000000001,4311.64,0.6810385910903606,0.752594582590613,0.2506722572449752,0.4772740765623486,0.5620079345780127,0.15684771148824,0.524354651586294,0.6060021450086057,0.1837547616126216
1385,Havsa,Edirne,2017,390.0,3272.91,530.49,46,483.79,257.82,47.9,57.77,0.4355231501023008,16,16.99,23.63225806451613,11.577569444444444,684.0300000000001,4037.23,0.5140731148877217,0.7952492289669254,0.3934407156610652,0.3431339855313206,0.598558549745829,0.2417410042237487,0.3107034893195288,0.6546442432774484,0.2368135088203198
1385,Havsa,Edirne,2018,368.0,3645.125,575.925,60,758.1700000000001,454.41,35.48000000000001,107.69,0.7175191773224854,12,18.41064516129032,24.698387096774194,10.704583333333334,701.0600000000002,3943.71,0.7083957825788753,0.6985438890126886,0.2545432314916566,0.4544015279887428,0.4992131306678271,0.15655176644881,0.4519807152498986,0.506503603494386,0.1623011742511518
1385,Havsa,Edirne,2019,411.0,3559.9700000000003,574.69,61,496.35,317.1700000000001,51.56,35.63999999999999,0.4565729856844301,26,18.274516129032257,25.027419354838703,11.310555555555554,673.7900000000001,3915.13,0.540098786978791,0.7598237424709609,0.3812148320520565,0.3622596154504445,0.5750733460138272,0.2427841143120055,0.3653142264379651,0.5805191735306509,0.2526026090661873
1385,Havsa,Edirne,2020,343.0,3752.715,543.2449999999999,51,439.13,192.16,71.26,68.47000000000001,0.3947775486507726,15,17.3441935483871,24.115161290322582,11.6778892733564,647.6200000000001,4062.52,0.7271890659371366,0.8066567766018294,0.3232507366080163,0.5403764105959166,0.6336234008624334,0.2012276553137454,0.5363953832197894,0.6557163944818222,0.1863437216671667
1385,Havsa,Edirne,2021,431.0,3555.51,533.905,58,716.1500000000001,478.68,58.6,63.760000000000005,0.7116731875883521,9,17.102258064516132,23.206129032258065,10.520138888888887,695.1699999999998,3892.06,0.6950445706759065,0.7794812959828405,0.3962596456039277,0.4738335315697452,0.5833989155434287,0.2481015473140647,0.5260035030733875,0.6058230323954208,0.238005046173978
1385,Havsa,Edirne,2022,388.0,3445.385,551.33,50,520.54,379.2600000000001,25.99000000000001,44.26999999999998,0.4766016451223357,27,17.686774193548384,25.150645161290324,11.32576388888889,745.6100000000001,3999.72,0.5657558633962423,0.7442847488030585,0.3106551366991738,0.3628273776283927,0.5592180303676618,0.1967894751148101,0.3822225400598203,0.5756240872605051,0.192833295185601
1385,Havsa,Edirne,2023,533.0,3837.175,506.35,55,403.3,173.08000000000004,46.510000000000005,34.35,0.3829600661653471,14,16.13741935483871,22.204838709677414,11.180208333333333,566.0899999999999,3829.06,0.649287783658657,0.8209366633470663,0.3919942148018057,0.4492136705577035,0.6360012665178844,0.246336168310041,0.4654346373525534,0.7120701960396936,0.2527710721294918
1385,Havsa,Edirne,2024,396.0,4160.43,523.115,50,445.5,290.63,42.85,8.760000000000002,0.3592233282674177,31,16.666774193548388,23.37258064516129,11.814636678200692,655.75,4102.01,0.6591992582134033,0.7611349480155446,0.2580112973934991,0.4753370794970272,0.5850527952157132,0.1631154579997502,0.4655155709383879,0.6180179842807862,0.1785310248403505
1388,Hayrabolu,Tekirdağ,2017,458.0,3336.135,530.66,50,462.66,274.64,42.21000000000001,49.260000000000005,0.4140177154298683,18,16.972580645161294,23.67806451612904,11.40204861111111,696.88,4022.21,0.4704217991187448,0.8415142088146876,0.4167279108935713,0.3081274533753217,0.6509284033861195,0.2626844627933463,0.2502753940024092,0.7058253216386375,0.2505431141085671
