ilce_id,ilce,il,year,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum
1258,Çorlu,Tekirdağ,2017,234.0,2367.565,537.8,0,234.37,,44.31,17.209999999999997,0.1910669321269303,25,25.10129032258065,31.197741935483872,10.87431693989071,802.7799999999997,4059.79
1258,Çorlu,Tekirdağ,2018,220.0,2524.53,557.21,0,272.72,,79.53,1.01,0.2364984417699735,15,25.91161290322581,30.81548387096775,9.810601092896176,740.6800000000001,4002.06
1258,Çorlu,Tekirdağ,2019,235.0,2419.735,520.565,0,172.78,,31.85,19.75,0.1463891883627011,22,24.761612903225803,30.46806451612904,10.292950819672132,764.9699999999999,3977.57
1258,Çorlu,Tekirdağ,2020,267.0,2400.71,535.4399999999999,0,219.83,,7.03,10.909999999999998,0.1790530606936657,24,25.127096774193557,31.142258064516124,10.639562841530056,860.68,4106.630000000001
1258,Çorlu,Tekirdağ,2021,250.0,2382.5199999999995,577.4,0,211.36,,13.469999999999995,12.929999999999998,0.1844493398684364,34,26.508064516129032,32.46129032258064,10.046939890710384,819.3400000000001,3896.35
1258,Çorlu,Tekirdağ,2022,174.0,2436.91,533.1850000000001,0,193.1,,21.9,42.79,0.1586001923201454,22,25.059677419354845,30.976129032258065,10.63912568306011,833.4399999999999,4065.29
1258,Çorlu,Tekirdağ,2023,88.0,2486.13,603.845,0,186.24,,11.19,3.1899999999999995,0.1596350414261402,44,27.444193548387094,33.73064516129032,10.268415300546447,833.3900000000002,3850.99
1258,Çorlu,Tekirdağ,2024,160.0,2694.8700000000003,615.275,0,135.59,,7.81,5.0200000000000005,0.1057432703610228,47,27.701935483870965,33.66193548387097,10.677814207650274,805.9199999999998,4080.68
1295,Merkez,Edirne,2017,252.0,2400.0550000000003,550.7,0,278.05999999999995,,58.8,11.7,0.1970094465124196,42,25.526129032258066,33.60096774193548,14.345792349726777,775.2200000000001,4016.24
1295,Merkez,Edirne,2018,262.0,2478.4700000000003,527.24,0,255.97000000000003,,79.02000000000001,1.62,0.1917127138163484,38,24.903548387096777,30.955483870967743,13.20918032786885,733.86,4012.95
1295,Merkez,Edirne,2019,262.0,2444.41,540.6949999999999,0,249.86,,49.06,38.69,0.1798377745444139,44,25.4158064516129,33.05064516129032,14.052240437158472,756.7299999999999,3987.36
1295,Merkez,Edirne,2020,254.0,2437.1900000000005,570.1449999999999,0,232.21,,0.6900000000000001,5.71,0.1643408622039882,56,26.316129032258072,34.38032258064517,14.233551912568307,836.0299999999999,4054.02
1295,Merkez,Edirne,2021,258.0,2375.25,598.9699999999999,0,223.95,,14.43,13.18,0.1669580034955597,54,27.21903225806452,35.25774193548387,13.4903825136612,823.1500000000002,3943.41
1295,Merkez,Edirne,2022,250.0,2475.5550000000003,585.2600000000001,0,230.32,,22.35,52.86000000000001,0.1622056771806218,49,26.874838709677416,34.89290322580646,14.071912568306008,831.5500000000002,4073.07
1295,Merkez,Edirne,2023,202.0,2509.65,629.6449999999999,0,222.94,,21.450000000000003,12.349999999999998,0.166507560570836,55,28.30967741935484,36.32774193548387,13.614590163934428,808.1800000000001,3806.9699999999993
