ilce_id,ilce,il,clay_0_30_mean,clay_0_30_p10,clay_0_30_p90,sand_0_30_mean,sand_0_30_p10,sand_0_30_p90,silt_0_30_mean,silt_0_30_p10,silt_0_30_p90,phh2o_0_30_mean,phh2o_0_30_p10,phh2o_0_30_p90,soc_0_30_mean,soc_0_30_p10,soc_0_30_p90,cec_0_30_mean,cec_0_30_p10,cec_0_30_p90,bdod_0_30_mean,bdod_0_30_p10,bdod_0_30_p90,nitrogen_0_30_mean,nitrogen_0_30_p10,nitrogen_0_30_p90,cfvo_0_30_mean,cfvo_0_30_p10,cfvo_0_30_p90,awc_0_30
1471,Merkez,Kırklareli,30.649886029254805,28.561381413230755,32.93386296296514,32.624062745483975,28.688532955107053,36.4348532845883,36.72557168134054,33.681119456995795,39.683027451250624,6.92517898862485,6.783333333333104,7.0833333333328605,17.068975255541996,15.18312555266337,19.93177828019288,22.799134897188335,21.02556784365046,24.406630089714692,1.3747471533909386,1.353333333333325,1.3950000000000042,16.200334402440713,15.059300584811211,17.439168040870815,12.028108601084028,9.68604933817333,15.178392753098814,0.1434048406696472
1480,Kofçaz,Kırklareli,32.000538591175705,28.80292046727478,34.55555122750129,30.11587194411341,27.93797023996645,32.808550709245594,37.883008108161526,35.15572430888148,40.3959014363546,6.627702458068415,6.466666666666671,6.783333333333137,20.903460690734338,18.442623848952394,23.924369142033147,21.813831895037737,20.212864764560624,23.7676415546979,1.3596274409455849,1.328333333333337,1.3849999999999938,17.889397963069523,15.59292777785505,20.775555555555567,9.168347083722757,7.593608296655478,10.843025070889983,0.1467758408394421
1502,Lalapaşa,Edirne,31.741371808545058,29.40669893629735,34.273976415324704,30.11895675821172,27.30795075801447,34.062647058823366,38.13960127662343,34.56173543043838,41.19065922075351,6.807926190558164,6.583333333333553,7.083333333333008,17.162373578357577,15.410513375316219,19.719052266319686,22.998216848738984,21.40585689002731,24.71541350948792,1.3991461382490749,1.3683333333333387,1.4233333333333258,15.562902527027656,14.528670401720003,16.84447704786482,8.843371622291464,7.524197465090147,10.160512737473631,0.14559101323572823
1505,Lüleburgaz,Kırklareli,34.11492213219116,30.809794125407013,37.185180023815114,32.22897349477228,28.40786185984141,34.907352090852086,33.65619647663782,30.30935697561527,36.93100636308437,7.173338516529524,6.966666666666736,7.3833333333328595,17.3210470061688,14.93343892958855,22.071856518840153,26.175529842594493,22.938939735671134,29.431364340520336,1.3706492157267551,1.3549999999999933,1.386666666666683,17.57859396845699,16.093378403537205,19.281998958478834,13.749560466588646,12.024171721120906,16.34660407069052,0.13909045663658917
1511,Malkara,Tekirdağ,33.91747808728819,31.964780538586506,35.77358826375403,28.003146493288618,25.527274176069227,30.965439759284337,38.079019687612146,34.31347585836721,41.3023317698658,6.793570501276907,6.600000000000052,6.98333333333331,24.657952235435474,22.43460865581728,27.18427699389573,24.031508558352673,22.658617717487267,25.27235580540928,1.3921340844556782,1.3666666666666614,1.4183333333333503,20.88797320227827,19.032013981609516,22.90695652845985,14.140645320190757,11.34046044696515,16.52371122881827,0.1476392450778232
1523,Meriç,Edirne,34.144789745443035,29.813781821655432,40.28924302788834,31.43514970645566,25.30321525741644,35.678981645944326,34.42032445790459,32.21318322981368,36.40648269966917,7.084753858454005,6.7833333333332995,7.283333333333155,23.68638970582346,18.378421410861037,31.102785876791145,24.76322785862835,23.16097572245347,26.40916745605716,1.3971697113292485,1.3699999999999861,1.4283333333333028,18.316879552947206,16.188876933522195,20.304575544549042,13.95007375309777,12.216627522388201,16.08816830889738,0.14231677429256073
1538,Muratlı,Tekirdağ,34.683305717449876,32.71881830428539,36.8402047512732,27.40652491055333,24.967612576295664,30.271659897435807,37.909628149444906,33.680130017594294,41.68871409719891,7.108075298241535,6.916666666666638,7.26666666666752,24.37149782912748,20.81253244960286,28.18218919084542,25.69511985173187,24.028476732253182,27.40368523631906,1.3649722748051392,1.3483333333333538,1.380000000000052,20.601521898903034,19.030732991627822,22.407811397272372,13.589605230972433,11.020281044588264,16.409681395945903,0.146815630252228
1572,Pehlivanköy,Kırklareli,31.5809515897331,29.15649384618308,33.661306243983894,32.7773920040747,29.970058286978123,35.89484070375646,35.64192235051983,33.647374532558715,38.14693224389801,7.0826650700744915,6.883333333333281,7.233333333333428,16.819775571641976,15.526613199192171,18.34414389467029,24.04692452733954,22.15798169801724,26.220978743654708,1.3863534803352038,1.3666666666666483,1.4066666666666956,17.867835708535637,16.57561899969067,19.82533241046392,13.143221079426146,11.773490779381953,14.535861800788533,0.14171667403177193
1577,Pınarhisar,Kırklareli,30.522164815161045,28.658085904046494,32.40728635502101,34.1434628282063,32.218590888639866,36.02061726179788,35.33394289969183,33.40749956567656,37.20999301187976,6.887135663836641,6.733333333333344,6.983333333333291,20.0319111098419,15.806705858660344,25.677488354264277,22.470053751916588,20.848271428417082,24.276858590759616,1.3638813720957486,1.3450000000000135,1.3833333333333373,17.200788699205155,15.594110730060134,18.841191857707976,14.145878514006856,11.02671035095514,17.775319117515615,0.14271270562645802
1596,Saray,Tekirdağ,34.10533848541223,32.274663509614435,35.96649076106438,29.717895940132085,25.716076491413784,32.909679983528875,36.17661331570664,31.797510502774706,41.05796321686203,7.260648572118842,7.066666666666571,7.416666666666785,19.96673457336263,15.314237351489242,23.55911842548594,26.764337735757834,24.272503126876245,29.156075011702068,1.3652220913874626,1.3533333333333433,1.3800000000000616,18.755537510004288,17.095143796509237,20.659534312895076,11.683603479677066,9.841750399340448,13.661681391016343,0.14340121128812316
1652,Şarköy,Tekirdağ,30.63478447384581,27.40481220657268,34.0918844229065,34.98105093110173,32.406553678962716,37.522997313187375,34.38479438901688,32.3400695144273,36.84827455702738,6.581722512754715,6.433333333333586,6.733333333333432,26.050313311348884,23.302937493586025,29.439022417666806,23.504759831627812,21.461535435153436,25.653578580089707,1.4040197257741673,1.358333333333331,1.4425780217126523,21.45234829641344,20.27890141163373,22.835552627405782,15.658559729101958,13.845221889273668,17.53322182192487,0.14429676483502404
1673,Merkez,Tekirdağ,34.88306527066829,32.21806040299693,37.216054786148284,29.764055024426945,26.59058938919178,32.66051605571115,35.35295608380236,32.313791549767465,39.055806793784605,6.814120153300926,6.600000000000144,7.100000000000103,26.518525803690327,23.435251791688426,30.184110075970278,25.284041115486456,23.775372469298,26.90923777303314,1.3759346319829384,1.352420749175828,1.4016666666666477,21.055131465686586,19.719950036240288,22.656300382909375,14.837065535808176,11.661681656147415,17.09376524913935,0.14406337904202254
1705,Uzunköprü,Edirne,34.82199480554187,32.52381149422919,37.15492875104789,29.414944840392188,26.810999368380976,32.057871267699355,35.76298097390493,33.27609604093963,38.410153426316434,7.066801516200794,6.83333333333334,7.233333333333427,22.212727852789264,19.06135027594489,25.9341452597668,25.21688615866199,23.59190803526876,26.907617383758083,1.3853179983399653,1.3600000000000103,1.4116666666666842,19.253102028562445,17.59324113972416,21.280730372763397,13.620289846143994,11.590984098870821,16.02460609354155,0.14329048394201593
1714,Vize,Kırklareli,31.274568905546985,28.657521157019477,34.08920347300844,31.43524684579882,28.341128555752444,34.47016293389008,37.289616528673875,34.96580551735733,39.464691197221384,7.051814638983122,6.783333333333272,7.2666666666663025,22.662261149767144,15.87560221393873,26.873184271054505,23.98204031403322,21.02384377827734,27.27074137646439,1.3685266897266826,1.3500000000000014,1.3856180131035638,18.360585486857563,16.812727915043478,20.192529423364693,13.041156919330582,10.906356303419878,15.595511470037472,0.1468666805839291
1825,Marmaraereğlisi,Tekirdağ,33.46043193408146,31.028082097748527,35.90668706183614,28.09875423467147,24.42666114644214,30.816989730632994,38.44019464097307,34.967017313171255,42.778993435448356,7.210246659121606,7.083333333333384,7.316666666666643,23.313993716963257,20.934318276698683,25.802367657477763,26.124626580261456,24.71385605150505,27.463165872672178,1.409439457618899,1.3783333333333934,1.4540146090799226,20.121237634612534,18.97972467532468,21.267044644290987,14.441578569521734,12.218590321610964,16.21263978494627,0.14792617200464125
1988,Süloğlu,Edirne,32.10352124946346,29.968794858690767,34.2174639100867,28.60388265353689,26.84115549215407,30.411257979513906,39.29267270351597,37.095491136279236,41.403694988525096,6.955762064873599,6.7833333333341175,7.083333333333045,15.93988747482584,14.80571522774105,17.184413390618108,23.096622666088617,21.792098446561727,24.29312227593533,1.3922323268039873,1.3733333333333326,1.41499999999998,15.40269095424191,14.65860995917459,16.219460717410875,9.809573852593175,8.217309273591056,11.76734713477109,0.1467473560564356
2094,Ergene,Tekirdağ,33.71112980140532,30.8368398827851,36.71249097845154,27.53444831039412,22.814908877757283,32.91726503201811,38.754062901215654,31.60551295775942,46.12504964680435,7.311162807071716,7.166666666666445,7.466666666665573,20.904158618777398,16.267378987690094,23.08642643670537,27.405742006092467,24.968228697784607,29.91095929258785,1.3659230621258516,1.3533333333333635,1.3800000000000552,18.996509742001553,17.407464603102067,20.59428546700024,12.31508020014604,9.839478322313562,14.718738038950805,0.1473773750388305
2095,Kapaklı,Tekirdağ,33.243344825791404,31.163300328341247,35.59548844146159,27.39596415521618,25.338588110865775,29.342067658209405,39.36117499708281,35.776832706766946,43.089762937323584,7.162757936610641,6.983333333333359,7.283333333333337,22.464808741760134,20.963068720342907,24.27454590083461,24.79159493898971,22.714970409546375,27.506661610289704,1.3571163530825696,1.3416666666666712,1.3733333333333355,19.19873437308103,18.032488816394537,20.654926854126984,11.733557927132836,8.850311476655818,14.775029492815726,0.14900310215486745
2096,Süleymanpaşa,Tekirdağ,34.88306527066829,32.21806040299693,37.216054786148284,29.764055024426945,26.59058938919178,32.66051605571115,35.35295608380236,32.313791549767465,39.055806793784605,6.814120153300926,6.600000000000144,7.100000000000103,26.518525803690327,23.435251791688426,30.184110075970278,25.284041115486456,23.775372469298,26.90923777303314,1.3759346319829384,1.352420749175828,1.4016666666666477,21.055131465686586,19.719950036240288,22.656300382909375,14.837065535808176,11.661681656147415,17.09376524913935,0.14406337904202254
