year,crop,ndvi_max,ndvi_mean,ndvi_integral,ndvi_flowering,ndvi_grain_fill,greenness_days,gdd_cum_season,tp_season_sum,ndwi_min_flowering,t2m_max_flowering_mean,season_start,season_end,n_days_in_window,il,yield_kg_da,has_features
2020,aycicegi_yaglik,0.6363,0.43389581967213114,79.402935,0.41666774193548384,0.3157948387096774,14,2072.34965,3727.3002,-0.49955,26.44062580645161,2020-04-01,2020-09-30,183,Kırklareli,291.0,True
2020,aycicegi_yaglik,0.6363,0.43389581967213114,79.402935,0.41666774193548384,0.3157948387096774,14,2072.34965,3727.3002,-0.49955,26.44062580645161,2020-04-01,2020-09-30,183,Tekirdağ,248.0,True
2021,aycicegi_yaglik,0.56525,0.4178288524590164,76.46268,0.5201733870967742,0.33996,0,2048.96525,3712.5174,-0.5684,27.882332258064512,2021-04-01,2021-09-30,183,Edirne,266.0,True
2021,aycicegi_yaglik,0.56525,0.4178288524590164,76.46268,0.5201733870967742,0.33996,0,2048.96525,3712.5174,-0.5684,27.882332258064512,2021-04-01,2021-09-30,183,Kırklareli,248.0,True
2021,aycicegi_yaglik,0.56525,0.4178288524590164,76.46268,0.5201733870967742,0.33996,0,2048.96525,3712.5174,-0.5684,27.882332258064512,2021-04-01,2021-09-30,183,Tekirdağ,240.0,True
2022,aycicegi_yaglik,0.61895,0.421772131147541,77.1843,0.3717322580645162,0.19944854838709677,13,2083.8636,3212.5709000000006,-0.4842499999999999,27.007596774193555,2022-04-01,2022-09-30,183,Edirne,259.0,True
2022,aycicegi_yaglik,0.61895,0.421772131147541,77.1843,0.3717322580645162,0.19944854838709677,13,2083.8636,3212.5709000000006,-0.4842499999999999,27.007596774193555,2022-04-01,2022-09-30,183,Kırklareli,235.0,True
2022,aycicegi_yaglik,0.61895,0.421772131147541,77.1843,0.3717322580645162,0.19944854838709677,13,2083.8636,3212.5709000000006,-0.4842499999999999,27.007596774193555,2022-04-01,2022-09-30,183,Tekirdağ,196.0,True
2023,aycicegi_yaglik,0.5642,0.4330194262295082,79.242555,0.4419548387096774,0.32431161290322585,0,2112.8692499999997,3245.1040999999996,-0.5386,29.39332258064517,2023-04-01,2023-09-30,183,Edirne,199.0,True
2023,aycicegi_yaglik,0.5642,0.4330194262295082,79.242555,0.4419548387096774,0.32431161290322585,0,2112.8692499999997,3245.1040999999996,-0.5386,29.39332258064517,2023-04-01,2023-09-30,183,Kırklareli,195.0,True
2023,aycicegi_yaglik,0.5642,0.4330194262295082,79.242555,0.4419548387096774,0.32431161290322585,0,2112.8692499999997,3245.1040999999996,-0.5386,29.39332258064517,2023-04-01,2023-09-30,183,Tekirdağ,115.0,True
2024,aycicegi_yaglik,0.6728000000000001,0.413538087431694,75.67747,0.30819645161290327,0.26929451612903216,39,2301.745,3816.7958,-0.45501,29.135554838709684,2024-04-01,2024-09-30,183,Edirne,137.0,True
2024,aycicegi_yaglik,0.6728000000000001,0.413538087431694,75.67747,0.30819645161290327,0.26929451612903216,39,2301.745,3816.7958,-0.45501,29.135554838709684,2024-04-01,2024-09-30,183,Kırklareli,194.0,True
2024,aycicegi_yaglik,0.6728000000000001,0.413538087431694,75.67747,0.30819645161290327,0.26929451612903216,39,2301.745,3816.7958,-0.45501,29.135554838709684,2024-04-01,2024-09-30,183,Tekirdağ,172.0,True
