ilce_id,ilce,il,year,crop,verim_kg_da,gdd_cum_season,gdd_flowering,vernalization_days,tp_season_sum,tp_winter_sum,tp_flowering,tp_grain_fill,aridity_index,heat_stress_days,t2m_flowering_mean,t2m_flowering_max,tdiff_mean,ssr_flowering_sum,ssr_season_sum,ndvi_max,ndvi_mean_season,ndvi_integral,ndvi_flowering,ndvi_grain_fill,ndvi_spring_slope,greenness_days
1258,Çorlu,Tekirdağ,2020,aycicegi_yaglik,267.0,2400.71,535.4399999999999,0,219.83,,7.03,10.909999999999998,0.17905306069366572,24,25.127096774193554,31.142258064516124,10.639562841530056,860.68,4106.630000000001,0.6125031648384515,0.37142006797182225,4.085620747690045,0.3460327192725663,0.2288934136554798,-0.0034880688895066437,16
1258,Çorlu,Tekirdağ,2021,aycicegi_yaglik,250.0,2382.5199999999995,577.4,0,211.36,,13.469999999999997,12.929999999999998,0.18444933986843645,34,26.508064516129032,32.46129032258064,10.046939890710384,819.3400000000001,3896.35,0.6320542360526782,0.4063747898869989,4.876497478643986,0.3762611347328986,0.26633450621512816,-0.002876619647770094,32
1258,Çorlu,Tekirdağ,2022,aycicegi_yaglik,174.0,2436.91,533.1850000000001,0,193.09999999999997,,21.900000000000002,42.79,0.15860019232014544,22,25.059677419354845,30.976129032258065,10.63912568306011,833.4399999999999,4065.29,0.5618163675843768,0.36126618385080067,3.9739280223588076,0.2938378647976331,0.1546399742437925,-0.002321330405946466,0
1258,Çorlu,Tekirdağ,2023,aycicegi_yaglik,88.0,2486.13,603.845,0,186.23999999999998,,11.19,3.1899999999999995,0.15963504142614027,44,27.444193548387098,33.73064516129032,10.268415300546447,833.3900000000002,3850.9900000000002,0.5902289147196943,0.3047828785632114,3.3526116641953254,0.2336902946641957,0.1741105639141464,-0.004744471302028967,0
1258,Çorlu,Tekirdağ,2024,aycicegi_yaglik,160.0,2694.8700000000003,615.275,0,135.59,,7.81,5.0200000000000005,0.10574327036102284,47,27.701935483870965,33.66193548387097,10.677814207650274,805.9199999999998,4080.6799999999994,0.6061467800848604,0.3168183223508819,3.485001545859701,0.21499988556983218,0.1763363137572175,-0.004155248805065085,16
1258,Çorlu,Tekirdağ,2017,bugday,443.0,3444.4750000000004,519.705,65,535.49,357.32000000000005,28.89,45.42999999999999,0.5494985196144898,10,16.690967741935488,21.734193548387097,8.684548611111111,696.88,4022.21,0.6002607667680577,0.4546545357127503,4.546545357127503,0.5651090092059015,0.4306204859309462,-0.0016210300223962319,16
1258,Çorlu,Tekirdağ,2018,bugday,324.0,3889.63,576.5649999999999,54,693.3799999999999,450.12,38.519999999999996,83.98,0.7380063893221427,2,18.403225806451612,23.19,8.399687499999999,674.3399999999999,3904.03,0.6700697720830321,0.4120208212983098,7.004353962071266,0.37262174973805895,0.3552948130636481,-0.003089736712163237,32
1258,Çorlu,Tekirdağ,2019,bugday,418.0,3695.9049999999997,566.9650000000001,66,537.84,379.59000000000003,40.370000000000005,21.8,0.5843458230059949,14,18.18129032258064,23.116774193548384,8.343715277777777,660.11,3843.5499999999997,0.600084391955802,0.4021495294104317,6.434392470566907,0.47013343341505887,0.357665070594396,-0.0017065122405716061,16
1258,Çorlu,Tekirdağ,2020,bugday,391.0,3929.29,540.555,50,461.77,224.69,84.86999999999999,60.78,0.4697044771942579,6,17.358387096774194,22.42354838709677,8.739307958477507,655.2299999999999,4067.9399999999996,0.6240986249326366,0.42425306549559105,7.636555178920639,0.5655831763540771,0.4227389471680433,-0.0006929273314416318,32
1258,Çorlu,Tekirdağ,2021,bugday,527.0,3818.0,544.74,39,644.16,399.11999999999995,69.66,56.11,0.725921769251223,8,17.46903225806452,22.211290322580652,8.008993055555555,680.8100000000001,3826.01,0.6320542360526782,0.42539006728416817,7.2316311438308585,0.5347587692761147,0.42822182665175546,-0.001283597569131019,32
