prediction_date,target_date,predicted_ndvi,last_observed_ndvi,residual_delta,predicted_ndvi_scaled,climatology_ndvi,anomaly_vs_climatology,actual_date,actual_ndvi,source,days_to_actual,abs_error,abs_err_naive
2025-03-15,2025-03-22,0.31354308970868594,0.16538125276565552,0.14816183694303042,0.48286035656929016,0.38231666666666664,-0.0687735769579807,2025-03-22,0.17470000000000002,s2_gee_raw,0,0.13884308970868592,0.009318747234344504
2025-03-16,2025-03-23,0.3221827118992806,0.16671249270439148,0.15547021919488913,0.495296835899353,0.417125,-0.09494228810071942,2025-03-22,0.17470000000000002,s2_gee_raw,1,0.14748271189928058,0.007987507295608542
2025-03-17,2025-03-24,0.3273534129142762,0.16804376244544983,0.1593096504688264,0.5027399063110352,0.417125,-0.0897715870857238,2025-03-22,0.17470000000000002,s2_gee_raw,2,0.1526534129142762,0.006656237554550193
2025-04-07,2025-04-14,0.27234056442379956,0.16839599609375,0.10394456833004956,0.423550546169281,0.5502888888888888,-0.27794832446508927,2025-04-16,0.16485,s2_gee_raw,2,0.10749056442379956,0.0035459960937500035
2025-04-08,2025-04-15,0.26723737808763987,0.16800200939178467,0.0992353686958552,0.41620466113090515,0.5594166666666666,-0.2921792885790267,2025-04-16,0.16485,s2_gee_raw,1,0.10238737808763987,0.0031520093917846714
2025-04-09,2025-04-16,0.26158510963022713,0.16760800778865814,0.09397710184156899,0.40806838870048523,0.5608166666666666,-0.2992315570364395,2025-04-16,0.16485,s2_gee_raw,0,0.09673510963022713,0.0027580077886581456
2025-04-10,2025-04-17,0.25665670370459565,0.16721400618553162,0.08944269751906403,0.4009740948677063,0.5693249999999999,-0.3126682962954042,2025-04-16,0.16485,s2_gee_raw,1,0.09180670370459565,0.0023640061855316197
2025-04-11,2025-04-18,0.25213150181770333,0.1668200045824051,0.08531149723529824,0.39446020126342773,0.5693249999999999,-0.31719349818229653,2025-04-16,0.16485,s2_gee_raw,2,0.08728150181770333,0.001970004582405094
2025-04-12,2025-04-19,0.24885539395213133,0.16642600297927856,0.08242939097285276,0.3897443413734436,0.530925,-0.2820696060478687,2025-04-21,0.1752,s2_gee_raw,2,0.07365539395213133,0.00877399702072143
2025-04-13,2025-04-20,0.24638490742444993,0.16603200137615204,0.0803529060482979,0.3861881494522095,0.53283125,-0.28644634257555,2025-04-21,0.1752,s2_gee_raw,1,0.07118490742444994,0.009167998623847956
2025-04-14,2025-04-21,0.2461000041753054,0.1656379997730255,0.08046200440227988,0.3857780396938324,0.5264916666666667,-0.28039166249136127,2025-04-21,0.1752,s2_gee_raw,0,0.0709000041753054,0.009562000226974482
2025-04-15,2025-04-22,0.24760180723369127,0.165243998169899,0.08235780906379228,0.38793984055519104,0.49633750000000004,-0.24873569276630877,2025-04-21,0.1752,s2_gee_raw,1,0.07240180723369127,0.009956001830101008
2025-04-16,2025-04-23,0.2503233672082425,0.16484999656677246,0.08547337064147004,0.39185744524002075,0.49633750000000004,-0.24601413279175754,2025-04-23,0.16505,s2_gee_raw,0,0.0852733672082425,0.00020000343322754133
2025-04-17,2025-04-24,0.25710013498067863,0.166920006275177,0.09018012870550163,0.40161240100860596,0.47295833333333337,-0.21585819835265474,2025-04-23,0.16505,s2_gee_raw,1,0.09205013498067863,0.0018700062751769997
2025-04-18,2025-04-25,0.26412894927263264,0.16899000108242035,0.09513894819021229,0.41173017024993896,0.4880354166666667,-0.22390646739403408,2025-04-23,0.16505,s2_gee_raw,2,0.09907894927263264,0.003940001082420347
2025-04-22,2025-04-29,0.282159157294035,0.17012499272823334,0.11203416456580167,0.4376841187477112,0.48210555555555556,-0.19994639826152055,2025-05-01,0.1868,s2_gee_raw,2,0.09535915729403502,0.016675007271766656
2025-04-23,2025-04-30,0.2805410824060441,0.16505001485347748,0.1154910675525666,0.43535494804382324,0.4960072916666667,-0.2154662092606226,2025-05-01,0.1868,s2_gee_raw,1,0.09374108240604409,0.021749985146522516
2025-04-24,2025-05-01,0.28573459886908537,0.16776876151561737,0.117965837353468,0.4428308606147766,0.5192763888888888,-0.23354179001980346,2025-05-01,0.1868,s2_gee_raw,0,0.09893459886908537,0.019031238484382623
2025-04-25,2025-05-02,0.29068770427703866,0.17048749327659607,0.12020021100044259,0.44996070861816406,0.51228125,-0.22159354572296136,2025-05-01,0.1868,s2_gee_raw,1,0.10388770427703867,0.016312506723403924
2025-04-26,2025-05-03,0.29550379277467737,0.17320623993873596,0.1222975528359414,0.45689332485198975,0.51228125,-0.21677745722532266,2025-05-03,0.16815000000000002,s2_gee_raw,0,0.12735379277467734,0.00505623993873594
2025-04-27,2025-05-04,0.2990736443579198,0.17592501640319824,0.12314862795472153,0.4620320200920105,0.5254583333333334,-0.22638468897541358,2025-05-03,0.16815000000000002,s2_gee_raw,1,0.13092364435791976,0.0077750164031982205
2025-04-28,2025-05-05,0.30130628708601004,0.17864374816417694,0.1226625389218331,0.4652458429336548,0.54323125,-0.24192496291399002,2025-05-06,0.16610000000000003,s2_gee_raw,1,0.13520628708601,0.012543748164176916
2025-04-29,2025-05-06,0.3018745201051236,0.18136249482631683,0.12051202527880678,0.46606379747390747,0.5620250000000001,-0.2601504798948765,2025-05-06,0.16610000000000003,s2_gee_raw,0,0.1357745201051236,0.015262494826316808
2025-04-30,2025-05-07,0.30121328618526466,0.18408124148845673,0.11713204469680794,0.46511197090148926,0.5741812500000001,-0.2729679638147354,2025-05-06,0.16610000000000003,s2_gee_raw,1,0.13511328618526464,0.0179812414884567
2025-05-01,2025-05-08,0.2999865107238293,0.1868000030517578,0.1131865076720715,0.46334606409072876,0.5741812500000001,-0.2741947392761708,2025-05-06,0.16610000000000003,s2_gee_raw,2,0.1338865107238293,0.020700003051757787
2025-05-02,2025-05-09,0.2867305283725262,0.1774750053882599,0.10925552298426633,0.4442644715309143,0.5655708333333332,-0.27884030496080703,2025-05-11,0.25665,s2_gee_raw,2,0.030080528372526227,0.0791749946117401
2025-05-03,2025-05-10,0.27404795495867734,0.16814999282360077,0.10589796213507657,0.42600828409194946,0.5662322916666667,-0.2921843367079893,2025-05-11,0.25665,s2_gee_raw,1,0.017397954958677353,0.08850000717639922
2025-05-04,2025-05-11,0.27248197051286704,0.1674666702747345,0.10501530023813255,0.42375409603118896,0.5710388888888889,-0.29855691837602183,2025-05-11,0.25665,s2_gee_raw,0,0.015831970512867055,0.08918332972526549
2025-05-05,2025-05-12,0.27355141876041894,0.16678334772586823,0.10676807103455072,0.42529353499412537,0.5582833333333334,-0.2847319145729144,2025-05-11,0.25665,s2_gee_raw,1,0.01690141876041895,0.08986665227413176
2025-05-06,2025-05-13,0.27805691075026995,0.16609999537467957,0.11195691537559038,0.43177905678749084,0.5582833333333334,-0.2802264225830634,2025-05-13,0.316,s2_gee_raw,0,0.037943089249730055,0.14990000462532044
